StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CASTHMA_AdjPrev,CASTHMA_Adj95CI,Geolocation
AL,Alabama,Autauga,1001,55601,10.2,"( 9.6, 10.7)",10.2,"( 9.6, 10.8)",POINT (-86.64301145 32.5350198)
AL,Alabama,Baldwin,1003,218022,9.5,"( 9.0, 10.2)",9.6,"( 9.1, 10.2)",POINT (-87.72275422 30.72811673)
AL,Alabama,Barbour,1005,24881,11.6,"(11.0, 12.3)",11.7,"(11.1, 12.3)",POINT (-85.39330307 31.86925212)
AL,Alabama,Bibb,1007,22400,10.3,"( 9.8, 10.9)",10.3,"( 9.8, 10.9)",POINT (-87.12653219 32.99854412)
AL,Alabama,Blount,1009,57840,10.2,"( 9.5, 10.9)",10.2,"( 9.6, 10.9)",POINT (-86.56784586 33.98070621)
AL,Alabama,Bullock,1011,10138,11.8,"(11.1, 12.5)",11.8,"(11.1, 12.5)",POINT (-85.71563262 32.10044482)
AL,Alabama,Butler,1013,19680,11.4,"(10.9, 12.0)",11.6,"(11.0, 12.3)",POINT (-86.68030416 31.75259734)
AL,Alabama,Calhoun,1015,114277,11.1,"(10.5, 11.8)",11.2,"(10.5, 11.8)",POINT (-85.82579874 33.77170768)
AL,Alabama,Chambers,1017,33615,11.1,"(10.6, 11.7)",11.2,"(10.6, 11.8)",POINT (-85.39238495 32.91401536)
AL,Alabama,Cherokee,1019,26032,10.4,"( 9.8, 11.2)",10.5,"( 9.8, 11.3)",POINT (-85.60387093 34.17572884)
AL,Alabama,Chilton,1021,44153,10.7,"(10.0, 11.3)",10.7,"(10.0, 11.4)",POINT (-86.71886671 32.84755922)
AL,Alabama,Choctaw,1023,12841,11.4,"(10.8, 12.0)",11.5,"(10.9, 12.2)",POINT (-88.26304964 32.020526)
AL,Alabama,Clarke,1025,23920,11.4,"(10.8, 12.0)",11.5,"(10.9, 12.1)",POINT (-87.83050953 31.67753092)
AL,Alabama,Clay,1027,13275,11,"(10.4, 11.7)",11.1,"(10.5, 11.9)",POINT (-85.86076142 33.26916978)
AL,Alabama,Cleburne,1029,14987,10.5,"( 9.8, 11.2)",10.5,"( 9.8, 11.3)",POINT (-85.51894991 33.67451857)
AL,Alabama,Coffee,1031,51909,10.2,"( 9.7, 10.8)",10.2,"( 9.7, 10.8)",POINT (-85.98828821 31.40188396)
AL,Alabama,Colbert,1033,54762,10.5,"( 9.9, 11.1)",10.5,"( 9.9, 11.2)",POINT (-87.80480288 34.70084917)
AL,Alabama,Conecuh,1035,12277,11.6,"(11.0, 12.2)",11.8,"(11.2, 12.5)",POINT (-86.99409002 31.42928542)
AL,Alabama,Coosa,1037,10715,10.9,"(10.4, 11.6)",11.1,"(10.5, 11.7)",POINT (-86.24787111 32.93634238)
AL,Alabama,Covington,1039,36986,10.8,"(10.2, 11.5)",10.9,"(10.3, 11.6)",POINT (-86.45156346 31.24869317)
AL,Alabama,Crenshaw,1041,13824,11,"(10.4, 11.6)",11,"(10.4, 11.7)",POINT (-86.31327649 31.73171737)
AL,Alabama,Cullman,1043,83442,10.3,"( 9.7, 11.0)",10.4,"( 9.7, 11.2)",POINT (-86.8671365 34.13199197)
AL,Alabama,Dale,1045,48956,10.4,"( 9.9, 10.9)",10.4,"( 9.9, 11.0)",POINT (-85.61159073 31.43150889)
AL,Alabama,Dallas,1047,38310,12.3,"(11.7, 13.1)",12.4,"(11.7, 13.2)",POINT (-87.1066303 32.32602481)
AL,Alabama,DeKalb,1049,71385,11,"(10.3, 11.8)",11,"(10.3, 11.8)",POINT (-85.8035973 34.4602025)
AL,Alabama,Elmore,1051,81887,10.4,"( 9.8, 11.0)",10.4,"( 9.8, 11.0)",POINT (-86.14875636 32.59685888)
AL,Alabama,Escambia,1053,36748,11.2,"(10.7, 11.8)",11.2,"(10.7, 11.8)",POINT (-87.16137773 31.12612281)
AL,Alabama,Etowah,1055,102501,10.6,"(10.0, 11.3)",10.7,"(10.1, 11.3)",POINT (-86.03539165 34.04522195)
AL,Alabama,Fayette,1057,16433,10.8,"(10.2, 11.5)",10.9,"(10.2, 11.6)",POINT (-87.73921374 33.72121137)
AL,Alabama,Franklin,1059,31363,10.4,"( 9.8, 11.1)",10.4,"( 9.7, 11.1)",POINT (-87.843283 34.44238135)
AL,Alabama,Geneva,1061,26314,10.9,"(10.3, 11.6)",11,"(10.3, 11.8)",POINT (-85.83932635 31.09487431)
AL,Alabama,Greene,1063,8233,12.9,"(12.1, 13.8)",13.1,"(12.3, 14.0)",POINT (-87.95608364 32.8537694)
AL,Alabama,Hale,1065,14726,11.9,"(11.3, 12.6)",12.1,"(11.4, 12.8)",POINT (-87.63018079 32.76294506)
AL,Alabama,Henry,1067,17209,10.7,"(10.1, 11.3)",10.8,"(10.2, 11.5)",POINT (-85.24183736 31.5149075)
AL,Alabama,Houston,1069,104722,10.8,"(10.2, 11.4)",10.9,"(10.3, 11.5)",POINT (-85.30249702 31.15350797)
AL,Alabama,Jackson,1071,51736,10.8,"(10.1, 11.6)",10.9,"(10.2, 11.7)",POINT (-85.99947453 34.77967706)
AL,Alabama,Jefferson,1073,659300,10,"( 9.6, 10.5)",10,"( 9.6, 10.6)",POINT (-86.89673378 33.55458811)
AL,Alabama,Lamar,1075,13844,10.8,"(10.1, 11.5)",10.9,"(10.2, 11.6)",POINT (-88.09715315 33.77909349)
AL,Alabama,Lauderdale,1077,92387,10.1,"( 9.5, 10.8)",10.2,"( 9.6, 10.9)",POINT (-87.65453895 34.90142261)
AL,Alabama,Lawrence,1079,32957,11.1,"(10.5, 11.8)",11.2,"(10.6, 11.8)",POINT (-87.31069915 34.52187809)
